,SPX_Index_Volume,TIP_US_Equity_last,SPX_Index_PE_RATIO,SPX_Index_TO_SALES_RATIO,SPX_Index_GROSS_MARGIN,SPX_Index_TO_BOOK_RATIO,FEDL01 Index,HG1 COMB Comdty,XAG BGN Curncy,US0003M Index,CL1 COMB Comdty,GTDEM10Y Govt,GTJPY10Y Govt,GT2 Govt,BXIIUB10 Index,BXIIUB05 Index,EHUPUS   Index                                                  ,tnx,usd_jpy,ndx,dxy,gold,HSI,T10Y2Y,inflation,SPY_Close,SPY_Volume
2001/4/6,989587000,55.9766,23.7269,1.7812,31.9,3.7138,4.03,75.2,4.33,3.94,28.13,5.07,1.239,4.179,100.4552,100.8019,4.23,4.874000072,123.7300034,1448.160034,114.75,260,30.47,0.82,0.119346249,75.57662201,14937800
2001/4/13,989587000,55.9766,23.7269,1.7812,32.05,3.7138,5.01,75.2,4.38,3.94,28.13,4.857,1.434,4.346,100.4552,100.8019,4.23,5.145999908,123.5,1714.290039,115.5400009,260.1000061,27.97,0.81,0.119346249,79.27871704,9233200
2001/4/20,1920998600,55.9766,22.7607,1.7512,32.05,3.6301,4.38,77.5,4.45,4.4175,27.28,4.951,1.452,4.236,100.4552,100.8019,4.23,5.263000011,122.3300018,1933.569946,114.3199997,264.7999878,29.52,1.03,0.119346249,83.04756165,7626700
2001/4/27,1414513800,55.9766,22.9608,1.7659,32.05,3.6604,4.51,75.9,4.375,4.31375,28.27,4.974,1.332,4.259,100.4552,100.8019,4.23,5.313000202,124.0199966,1810.469971,115.6200027,263.8999939,26.17,1.06,0.119346249,83.90140533,7938700
2001/5/4,1906745800,55.9766,21.1017,1.6233,32.05,3.3663,5.04,76.85,4.36,4.80375,27.26,4.756,1.301,4.171,100.4552,100.8019,4.23,5.184000015,121.2799988,1924.119995,114.9300003,266.1000061,26.64,1.07,0.105851454,84.94200134,12145300
2001/5/11,1638081800,55.9766,25.622,1.5789,30.95,3.2974,2.45,61.6,4.13,2.165,20.02,4.307,1.295,2.445,100.4552,100.8019,4.23,5.484000206,122.3700027,1821.199951,116.8399963,267.8999939,26.65,1.15,0.105851454,83.48114777,7734400
2001/5/18,1425459600,55.9766,23.921,1.8158,31.94,3.775,3.95,78.05,4.58,4.055,29.91,5.07,1.249,4.359,100.4552,100.8019,4.23,5.390999794,123.5100021,1927.689941,116.4100037,287.3999939,26.23,1.04,0.105851454,86.54291534,6683100
2001/5/25,965548300,55.9766,23.6565,1.7956,31.94,3.733,3.94,78.6,4.57,4.03,28.38,5.199,1.275,4.268,100.4552,100.8019,4.23,5.485000134,120.5899963,1960.73999,118.1800003,277.8999939,23.98,1.21,0.105851454,85.44895172,7425000
2001/6/1,965548300,55.9766,23.6565,1.7956,31.94,3.733,3.94,78.6,4.57,4.03,28.38,5.199,1.275,4.268,100.4552,100.8019,4.23,5.354000092,119.2099991,1840.829956,118.8899994,266.3999939,24.64,1.17,-0.101489284,84.53507996,8848300
2001/6/8,929924400,55.9766,24.2098,1.6851,31.57,3.5355,3.73,67.1,4.21,3.65,27.74,4.894,1.401,3.862,100.4552,100.8019,4.23,5.333000183,120.8499985,1896.219971,119.2099991,273.3999939,21.42,1.21,-0.101489284,84.71517181,8170600
2001/6/15,2056288100,55.9766,22.7356,1.7069,31.9,3.5586,3.94,71.95,4.41,3.85125,28.51,5.014,1.19,3.976,100.4552,100.8019,4.23,5.228000164,122.8700027,1701.530029,118.2900009,271.2000122,23.44,1.26,-0.101489284,81.51107025,16821100
2001/6/22,1431033500,55.9766,22.9388,1.7227,31.87,3.5842,3.98,71.45,4.32,3.73,26.83,4.94,1.179,3.897,100.4552,100.8019,4.23,5.124000072,124.4599991,1727.469971,118.9100037,272.2999878,22.73,1.21,-0.101489284,82.18000031,12212000
2001/6/29,1835095500,55.9766,22.9123,1.7211,31.86,3.576,3.95,70.45,4.31,3.83625,26.25,5.103,1.189,4.242,100.4552,100.8019,4.4,5.389999866,124.5,1830.189941,119.4300003,270.6000061,22.01,1.17,-0.101489284,82.01278687,9824200
2001/7/6,1366224800,55.9766,23.9124,1.7951,31.9,3.7428,3.92,75,4.35,3.91813,27.75,5.077,1.24,4.121,100.4552,100.8019,4.4,5.374000072,125.8199997,1668.589966,119.9000015,265.8999939,21.14,1.25,-0.16265693,79.63799286,11665900
2001/7/13,1362601700,55.9766,24.3646,1.7084,31.64,3.584,3.75,70,4.32,3.75875,26.59,5.077,1.305,4.071,100.4552,100.8019,4.4,5.234000206,124.8600006,1751.109985,119.3300018,267.1000061,22.53,1.15,-0.16265693,81.7719574,10433800
2001/7/20,1451749900,55.9766,24.2768,1.7022,31.64,3.5711,3.8,69.4,4.24,3.70875,25.59,4.957,1.305,3.946,100.4552,100.8019,4.4,5.111999989,122.8600006,1676.459961,117.2099991,269.8999939,23.03,1.17,-0.16265693,81.16989899,6705800
2001/7/27,1268131100,55.9766,24.1543,1.6937,31.64,3.5531,3.75,67.4,4.22,3.69625,27.02,4.904,1.317,3.863,100.4552,100.8019,4.4,5.096000195,123.4599991,1683.180054,116.9400024,267.3999939,23.93,1.26,-0.16265693,80.81538391,8478800
2001/8/3,1521725000,55.9766,22.4341,1.8084,32.05,3.9271,5.46,82.1,4.51,5.06,28.39,4.709,1.169,4.403,100.4552,100.8019,4.4,5.15899992,123.5999985,1725.900024,116.1399994,267.8999939,21.83,1.29,0,81.57128143,10816300
2001/8/10,1339224500,55.9766,24.5477,1.5178,30.89,3.1777,5.46,64.35,4.64,2.44,22.45,4.667,1.169,2.697,100.4552,100.8019,4.4,5.015999794,121.9499969,1617.449951,115.2900009,273.8999939,23.91,1.26,0,79.79855347,11173300
2001/8/17,1188118400,55.9766,23.4311,1.6319,31.59,3.4238,3.66,68.6,4.28,3.5475,26.68,4.755,1.329,3.643,100.4552,100.8019,4.4,4.84100008,120.1900024,1516.579956,112.9899979,279.2999878,25.48,1.17,0,78.0994339,11604600
2001/8/24,1326892800,55.9766,23.8918,1.6639,31.59,3.4909,3.51,68.3,4.2,3.5175,26.9,4.88,1.39,3.768,100.4552,100.8019,4.4,4.912000179,119.9800034,1579.619995,113.3300018,272.5,26.75,1.17,0,79.61794281,11687700
2001/8/31,1158878200,55.9766,22.998,1.5896,31.44,3.342,3.66,67.85,4.19,3.4625,27.2,4.788,1.374,3.629,100.4552,100.8019,4.4,4.815999985,118.75,1469.699951,113.4199982,274.3999939,27.48,1.21,0,76.3601532,15985400
2001/9/7,1294415400,55.9766,23.9945,1.6825,31.67,3.515,3.67,70.15,4.24,3.79,27.59,5.114,1.344,4.112,100.4552,100.8019,4.4,4.796000004,120,1354.27002,114.0500031,273.1000061,28.58,1.27,-0.02634795,72.72776794,33133900
2001/9/14,1294415400,55.9766,23.9945,1.6825,31.43,3.515,3.13,66.1,4.285,3.15,29.53,4.77,1.414,2.866,100.4552,100.8019,4.4,4.835000038,117.3199997,1365.390015,114.5699997,290.2000122,37.23,1.7,-0.02634795,73.61750793,23408700
2001/9/21,2952551300,55.9766,19.5661,1.3616,31.56,2.8503,3.11,65.7,4.595,2.615,25.97,4.886,1.389,2.867,100.4552,100.8019,4.4,4.68900013,116.5899963,1126.949951,113.0400009,291.8999939,42.4,1.79,-0.02634795,65.31923676,49782100
2001/9/28,1988472500,55.9766,21.1133,1.4674,31.55,3.0712,2.75,65.2,4.65,2.59,23.43,4.791,1.41,2.851,100.4552,100.8019,4.83,4.574999809,119.4800034,1168.369995,113.4800034,292.3999939,35.99,1.74,-0.02634795,70.12686157,21687200
2001/10/5,1283785500,55.9766,23.2368,1.7657,31.93,3.6679,4.51,75.05,4.35,4.06,28.52,4.933,1.288,4.162,100.4552,100.8019,4.83,4.504000187,120.4700012,1271.72998,112.9100037,291.3999939,33.96,1.81,-0.197038868,72.00022125,29796100
2001/10/12,1469426800,55.9766,26.6712,1.683,31.9,3.4111,1.9,67.6,4.26,1.93,18.37,4.834,1.35,3.053,100.4552,100.8019,4.83,4.65899992,121.2200012,1393.839966,113.8899994,284.8999939,33.82,1.87,-0.197038868,73.52442932,31360500
2001/10/19,1546559300,55.9766,24.6304,1.5376,31.01,3.2101,2.47,62.35,4.26,2.36625,21.83,4.625,1.359,2.754,100.4552,100.8019,4.83,4.599999905,121.1699982,1347.589966,114.8600006,280.1000061,32.99,1.86,-0.197038868,72.08078003,21912500
2001/10/26,1632670200,55.9766,25.3435,1.5821,31.01,3.3028,2.51,63.5,4.21,2.28,22.03,4.501,1.325,2.625,100.4552,100.8019,4.83,4.520999908,122.6500015,1454.900024,115.6500015,277.8999939,31.39,1.9,-0.197038868,74.07499695,18623300
2001/11/2,1632670200,55.9766,25.3435,1.5821,31.01,3.3028,2.51,63.5,4.21,2.28,22.03,4.501,1.325,2.625,100.4552,100.8019,4.83,4.346000195,121.6200027,1425.780029,114.5400009,279.7999878,32.22,1.89,-0.108620665,73.35659027,17575900
2001/11/9,1133600,55.9766,25.3435,1.5821,31.43,3.3028,3.5,65.5,4.26,3.36,27.77,4.752,1.418,3.517,100.4552,100.8019,4.83,4.30700016,120.2200012,1514.959961,115.0899963,277.3999939,27.86,1.89,-0.108620665,75.68653107,15895800
2001/11/16,1648989700,55.9766,26.4356,1.6299,30.95,3.4044,1.98,68.2,4.13,2.13875,18.03,4.559,1.359,3.012,100.4552,100.8019,4.83,4.885000229,122.8700027,1582.140015,116.4100037,274.7000122,25.83,1.82,-0.108620665,76.78774261,18134900
2001/11/23,503177600,55.9766,26.7072,1.6466,30.95,3.4394,1.88,68.2,4.1,2.15625,18.03,4.602,1.359,3.15,100.4552,100.8019,4.83,4.991000175,124.2799988,1577.469971,117.3300018,272.8999939,21.78,1.84,-0.108620665,77.67404175,6717100
2001/11/30,1594486600,55.9766,26.6531,1.6818,31.93,3.411,2.06,72.2,4.18,2.03188,19.44,4.555,1.359,2.841,100.4552,100.8019,4.83,4.743999958,123.4499969,1596.050049,116.1299973,273.8999939,24.52,1.94,-0.108620665,76.57955933,13680300
2001/12/7,1710415200,55.9766,24.1864,1.6957,31.67,3.5428,3.78,69.8,4.27,3.77,26.8,5.059,1.269,4.037,100.4552,100.8019,4.83,5.147999763,125.4899979,1673.900024,116.1500015,273.8999939,24.19,2.01,-0.181347872,78.26490021,18857800
2001/12/14,1699843500,55.9766,26.2902,1.6588,31.9,3.3592,1.88,67.1,4.42,1.895,19.23,4.762,1.335,3.153,100.4552,100.8019,4.83,5.160999775,127.3700027,1605.670044,114.9300003,278,24.73,2.04,-0.181347872,75.96183014,16721900
2001/12/21,2167322800,55.9766,26.756,1.6867,31.9,3.4045,1.78,67.65,4.54,1.9,19.62,4.874,1.315,3.129,100.4552,100.8019,4.83,5.078000069,129.5,1578.27002,116.9800034,278,26.86,1.95,-0.181347872,77.44934082,14037700
2001/12/28,1017857300,55.9766,27.2327,1.7109,31.9,3.4503,1.54,67.75,4.51,1.88125,20.41,4.996,1.363,3.157,100.4552,100.8019,4.83,5.106999874,131.0500031,1621.130005,117.2600021,276.5,25.45,1.99,-0.181347872,78.15680695,10593800
2002/1/4,1347323700,55.9766,28.8468,1.7708,32.39,3.4951,1.88,76.45,4.68,1.88125,26.88,5.256,1.395,3.711,100.4552,100.8019,5.5,5.140999794,131.0200043,1675.030029,116.3300018,278.8999939,24.61,1.99,-0.263912912,79.24832153,20140700
2002/1/11,1793755900,55.9766,20.1701,1.4085,32.68,2.7195,1.74,72.6,4.505,1.65875,27.13,4.552,0.974,1.768,100.4552,100.8019,5.5,4.859000206,132.1499939,1634.170044,116.6399994,287.3999939,24.51,2.16,-0.263912912,77.44262695,13708400
2002/1/18,1646004900,55.9766,27.8974,1.712,32.43,3.3863,1.71,69.85,4.37,1.77,18,4.832,1.425,2.936,100.4552,100.8019,5.5,4.888000011,132.6199951,1548.219971,117.5100021,283.1000061,22.24,2.03,-0.263912912,76.23656464,17028000
2002/1/25,1606052500,55.9766,28.0351,1.721,32.43,3.4034,1.78,71.15,4.32,1.87,19.99,4.972,1.468,3.183,100.4552,100.8019,5.5,5.071000099,134.5500031,1558.26001,119.8499985,278.7999878,20.15,1.93,-0.263912912,76.50608826,12810700
2002/2/1,1430402300,55.9766,28.5691,1.7403,32.33,3.4612,1.92,65.8,4.6,1.86375,21.01,4.957,1.468,3.205,100.4552,100.8019,5.5,4.979000092,133.1000061,1528.150024,119.7900009,286,22.87,1.94,-0.003981776,75.89967346,15838500
2002/2/8,1734079321,55.9766,20.2026,1.3623,32.88,2.6075,1.72,68.2,4.593,1.8,26.84,4.632,1.295,2.004,100.4552,100.8019,5.5,4.879000187,134.6699982,1452.170044,118.9800034,303.5,20.16,1.95,-0.003981776,74.17483521,19277800
2002/2/15,1767090000,55.9766,27.3995,1.6753,32.4,3.3078,1.73,73.4,4.59,1.91,21.5,4.924,1.498,2.944,100.4552,100.8019,5.5,4.862999916,132.5899963,1436.699951,118.5999985,298.3999939,21.29,1.89,-0.003981776,74.71386719,18366800
2002/2/22,1938938800,55.9766,27.054,1.6532,32.39,3.2622,1.71,70,4.41,1.90125,21.07,4.921,1.526,2.945,100.4552,100.8019,5.5,4.827000141,134.1100006,1356.160034,118.4800034,293.2000122,24.39,1.87,-0.003981776,73.87165833,26572900
2002/3/1,1877509100,55.9766,28.8358,1.7566,32.33,3.4936,1.72,66.4,4.65,1.87563,20.37,4.94,1.526,3.172,100.4552,100.8019,5.5,4.971000195,133.3200073,1435.410034,119.4000015,298,24.82,1.8,0.297049372,76.63409424,26273600
2002/3/8,1877509100,55.9766,28.8358,1.7566,32.33,3.4936,1.72,66.4,4.65,1.87563,20.37,4.94,1.526,3.172,100.4552,100.8019,5.5,5.315999985,128.6199951,1555.109985,117.9899979,290.1000061,21.77,1.73,0.297049372,78.82381439,19930100
2002/3/15,1890500900,55.9766,28.9517,1.7634,32.35,3.4847,1.8,74.6,4.51,2.01,24.51,5.226,1.455,3.581,100.4552,100.8019,5.5,5.362999916,129.0099945,1495.410034,117.2200012,289.8999939,21.47,1.72,0.297049372,78.8199234,21220100
2002/3/22,1470232800,55.9766,28.5425,1.7365,32.35,3.4311,1.68,74.5,4.55,2.03,25.35,5.257,1.431,3.705,100.4552,100.8019,5.5,5.388999939,132.8999939,1470.099976,118.0500031,297.2999878,19.66,1.63,0.297049372,77.73201752,15235400
2002/3/29,1470232800,55.9766,28.5425,1.7365,32.36,3.4311,1.74,74.5,4.55,2.03,25.35,5.255,1.39,3.711,100.4552,100.8019,5.7,5.406000137,132.6999969,1452.810059,118.6200027,302.6000061,20.06,1.7,0.297049372,77.38062286,17532900
2002/4/5,1470232800,55.9766,28.5425,1.7365,32.36,3.4311,1.74,74.5,4.55,2.03,25.35,5.255,1.39,3.711,100.4552,100.8019,5.7,5.210000038,131.5500031,1376.719971,117.6900024,300.1000061,21.24,1.73,0.110970754,76.14411926,19404900
2002/4/12,1736818088,55.9766,20.5026,1.4296,32.84,2.7461,1.23,75.3,4.57,1.42,26.71,4.48,1.015,1.988,100.4552,100.8019,5.7,5.156000137,131.9199982,1351.849976,117.7399979,302.1000061,21.6,1.77,0.110970754,75.28600311,14950600
2002/4/19,1575191100,55.9766,28.287,1.7364,32.39,3.4271,1.67,73.3,4.49,1.94,26.38,5.204,1.389,3.318,100.4552,100.8019,5.7,5.190000057,130.3099976,1385.01001,116.2900009,302.2999878,19.92,1.85,0.110970754,76.27251434,10499200
2002/4/26,1747716600,55.9766,27.0347,1.6606,32.38,3.2776,1.79,73.6,4.62,1.92125,27.11,5.092,1.414,3.208,100.4552,100.8019,5.7,5.058000088,127.8199997,1250.890015,115.0400009,311.6000061,19.18,1.86,0.110970754,72.56297302,19769800
2002/5/3,2055766200,55.9766,28.4637,1.7335,32.34,3.4255,1.63,73.55,4.6,1.92,23.17,5.087,1.475,3.201,100.4552,100.8019,5.7,5.061999798,126.9000015,1190.73999,113.5899963,312.2000122,20.48,1.91,-0.279122015,72.69132233,18185500
2002/5/10,2055766200,55.9766,28.4637,1.7335,32.34,3.4255,1.63,73.55,4.6,1.92,23.17,5.087,1.475,3.201,100.4552,100.8019,5.7,5.126999855,127.5699997,1188.780029,113.9499969,311,21.57,1.96,-0.279122015,71.43452454,18958900
2002/5/17,1519727500,55.9766,27.4224,1.7153,32.36,3.4336,1.7,72.4,4.69,1.9025,28.18,5.258,1.355,3.37,100.4552,100.8019,5.7,5.241000175,125.9300003,1325.800049,113,310.6000061,19.81,1.86,-0.279122015,74.93463135,27823700
2002/5/24,1065922100,55.9766,26.8595,1.68,32.36,3.363,1.75,73.5,4.88,1.9,25.88,5.16,1.413,3.226,100.4552,100.8019,5.7,5.138000011,124.6999969,1253.030029,112.8000031,320.3999939,19.46,1.88,-0.279122015,73.44134521,11877000
2002/5/31,1448544800,55.9766,26.4745,1.6539,32.42,3.3093,1.79,76.4,5.03,1.89625,25.31,5.168,1.384,3.197,100.4552,100.8019,5.7,5.043000221,124.0599976,1208.339966,111.8099976,326.5,19.73,1.86,-0.279122015,72.44809723,19826300
2002/6/7,1448544800,55.9766,26.4745,1.6539,32.42,3.3093,1.79,76.4,5.03,1.89625,25.31,5.168,1.384,3.197,100.4552,100.8019,5.7,5.061999798,124.3099976,1140.23999,110.9899979,324.6000061,18.79,1.94,-0.096762729,69.8263855,24011600
2002/6/14,1932986000,55.9766,24.971,1.5576,32.45,3.1147,1.75,76.5,4.83,1.87938,25.94,4.973,1.364,2.889,100.4552,100.8019,5.7,4.806000233,124.1299973,1109.599976,110.7600021,319.1000061,19.09,1.91,-0.096762729,68.51557159,39267500
2002/6/21,2218384800,55.9766,24.5282,1.5297,32.46,3.056,1.74,74.3,4.85,1.87438,25.82,4.966,1.318,2.844,100.4552,100.8019,5.7,4.755000114,121.0899963,1035.630005,108.1900024,324.6000061,20.89,1.91,-0.096762729,67.31784058,31190700
2002/6/28,2179851600,55.9766,24.4682,1.5292,32.46,3.0528,1.73,76.75,4.84,1.86,26.86,4.942,1.31,2.815,100.4552,100.8019,5.83,4.823999882,119.5199966,1051.410034,106.1100006,313.5,23.51,1.96,-0.096762729,67.10086823,28184200
2002/7/5,2065054600,55.9766,26.011,1.6198,32.5,3.1965,1.72,72.05,4.64,1.9,26.63,5.102,1.353,3.116,100.4552,100.8019,5.83,4.863999844,120.4000015,1060.890015,107.6699982,310.8999939,22.47,2,0.372275664,67.33815765,19013500
2002/7/12,2065054600,55.9766,26.011,1.6198,32.5,3.1965,1.72,72.05,4.64,1.9,26.63,5.102,1.353,3.116,100.4552,100.8019,5.83,4.59499979,116.8499985,1000.820007,105.8899994,315.6000061,24.42,2.07,0.372275664,62.27986145,39018600
2002/7/19,2878352100,55.9766,20.1273,1.3204,32.54,2.5625,1.72,71.45,5.06,1.86,27.83,4.84,1.259,2.414,100.4552,100.8019,5.83,4.565000057,115.9000015,965.3699951,104.0599976,323.8999939,27.43,2.13,0.372275664,57.43851471,77572600
2002/7/26,1981093601,55.9766,20.0355,1.3465,32.85,2.5862,1.69,68.7,4.66,1.81,26.54,4.729,1.329,2.222,100.4552,100.8019,5.83,4.367000103,118.7699966,910.9099731,106.6100006,303.3999939,35.93,2.23,0.372275664,58.04199982,41206800
2002/8/2,1800315300,55.9766,27.2246,1.6632,32.38,3.2849,1.69,73.35,4.46,1.9,20.26,4.915,1.504,2.905,100.4552,100.8019,5.83,4.261000156,118.7699966,892.5100098,106.6699982,307,29.92,2.34,0.230769073,58.84889603,51772900
2002/8/9,1800315300,55.9766,27.2246,1.6632,32.38,3.2849,1.69,73.35,4.46,1.9,20.26,4.915,1.504,2.905,100.4552,100.8019,5.83,4.267000198,120.4499969,937.3300171,108.2099991,314.2000122,28.07,2.17,0.230769073,61.90013123,41879200
2002/8/16,1455933868,55.9766,21.6132,1.4622,32.88,2.7915,1.7,67.5,4.503,1.76,29.33,4.57,1.281,2.262,100.4552,100.8019,5.83,4.316999912,117.5599976,996.0599976,106.7200012,313.7000122,25.48,2.04,0.230769073,63.20878983,36517300
2002/8/23,1239615393,55.9766,21.8565,1.4788,32.88,2.8219,1.72,68.55,4.43,1.79625,28.63,4.654,1.261,2.162,100.4552,100.8019,5.83,4.228000164,119.5899963,1010.48999,107.9700012,306.7000122,23.64,2.06,0.230769073,64.14455414,33716400
2002/8/30,1101613720,55.9766,21.2925,1.4401,32.9,2.7506,1.81,68.7,4.46,1.80625,28.98,4.568,1.175,2.129,100.4552,100.8019,5.83,4.137000084,118.4300003,942.3800049,106.9800034,312.3999939,24.71,2,0.230769073,62.23241806,30366700
2002/9/6,1101613720,55.9766,21.2925,1.4401,32.9,2.7506,1.81,68.7,4.46,1.80625,28.98,4.568,1.175,2.129,100.4552,100.8019,5.83,4.035999775,118.4100037,922.2199707,106.8399963,319.8999939,24.74,1.97,-0.160035655,61.02543259,38622200
2002/9/13,1382071984,55.9766,20.6458,1.3969,32.97,2.66,1.72,69.2,4.565,1.82,29.81,4.413,1.028,2.047,100.4552,100.8019,5.83,3.900000095,121.6299973,923.8300171,108.0599976,316.6000061,24.42,1.85,-0.160035655,60.80169678,41131000
2002/9/20,2211425102,55.9766,19.6157,1.3273,32.98,2.5274,1.7,67.5,4.63,1.8,29.61,4.357,1.289,1.922,100.4552,100.8019,5.83,3.776000023,123.3000031,871.5999756,107.5299988,321.8999939,27.36,1.85,-0.160035655,57.45080185,46325600
2002/9/27,1660620579,55.9766,19.1943,1.2961,32.97,2.5217,1.78,66.7,4.49,1.80625,30.54,4.342,1.214,1.799,100.4552,100.8019,5.83,3.688999891,122.5299988,860.3499756,107.5299988,319.7000122,28.65,1.87,-0.160035655,56.36104584,64648300
2002/10/4,2028813700,55.9766,28.4267,1.745,32.39,3.444,1.73,72.45,4.59,1.98,26.13,5.187,1.37,3.447,100.4552,100.8019,5.73,3.684999943,123.1999969,815.4000244,107.5999985,322.1000061,28.46,1.91,0.337834857,55.03289032,68483700
2002/10/11,2028813700,55.9766,28.4267,1.745,32.39,3.444,1.73,72.45,4.59,1.98,26.13,5.187,1.37,3.447,100.4552,100.8019,5.73,3.812999964,124.0199966,890.6099854,107.25,316.2999878,26.99,1.98,0.337834857,57.32138443,82308300
2002/10/18,1772053221,55.9766,19.8889,1.3838,32.67,2.6679,1.71,69.25,4.36,1.8275,29.6,4.6,1.084,2.052,100.4552,100.8019,5.73,4.133999825,125.4499969,956.1300049,108.5199966,312.7000122,25.01,2.05,0.337834857,60.37272644,47448700
2002/10/25,1516195347,55.9766,20.1799,1.4042,32.67,2.7071,1.82,71.45,4.412,1.82,27.05,4.595,1.068,1.985,100.4552,100.8019,5.73,4.09499979,124.1699982,995.5499878,107.9199982,313.3999939,24.18,2.14,0.337834857,61.43524933,43672100
2002/11/1,1461853100,55.9766,28.3333,1.7271,32.33,3.4337,1.71,70.85,4.75,1.82688,19.68,4.823,1.396,2.727,100.4552,100.8019,5.73,3.976999998,122.1500015,1019.059998,106.0800018,318.7999878,25.53,2.25,0.0851657,61.48289871,51878900
2002/11/8,1461853100,55.9766,28.3333,1.7271,32.33,3.4337,1.71,70.85,4.75,1.82688,19.68,4.823,1.396,2.727,100.4552,100.8019,5.73,3.851999998,119.7799988,1008.349976,104.5,321.2999878,24.63,1.98,0.0851657,61.06061935,37905400
2002/11/15,1707337794,55.9766,20.3479,1.4212,32.7,2.7439,1.35,71.85,4.57,1.42031,25.51,4.46,1.006,1.875,100.4552,100.8019,5.73,4.051000118,120.4599991,1061.280029,105.0400009,320.7000122,22.51,2.14,0.0851657,62.25254822,39152100
2002/11/22,1853083190,55.9766,20.8244,1.4509,32.82,2.7895,1.25,73.65,4.558,1.42625,26.76,4.51,1.024,2.062,100.4552,100.8019,5.73,4.175000191,122.9499969,1116.01001,106.1200027,320.7000122,20.03,2.08,0.0851657,63.62838364,32513800
